"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBzCCA++gAwIBAgISAwP1p+o2+TkW4vlrcuhsWqhIMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDA1MjEwNDEyMTJaFw0yNDA4MTkwNDEyMTFaMCgxJjAkBgNVBAMTHWFwcC5tb25jb21wdGVwcm8uYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0bU5D71Sv3WvMD1fsE4LGWqb4TBG5OXvyCoyUwe5rEV4qQjPo0gYrMBqUVwIteUBH+VqQQPN+VA3ZKfL2pXLvgEXU4csE+vM0ubr5p7Ka7628LF/+txhQlYNcaBNsNrwzOeICwbNp45SwI2SjR0HRD1kAaua3ZA7wPvIWfDJYUh62oXnLy6xJn1s0gqNSMp2vjmhGRh4UmB5ek5bA8jxJ/3IiYTxIrmg/wovE5z4K/t8RnrWStgJTfrMRYusjeQuyiWAucl8FDA2/o9zJrCN2cU7wV8jvDmfRQcdopwQ2Qgd21DCxK9MRzxODs+9SFfXLmK7GLuDWG3ru+7M2m2/lwIDAQABo4ICHzCCAhswDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQNpI8XZHmAD7oEra2+hWX7cVAybDAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAoBgNVHREEITAfgh1hcHAubW9uY29tcHRlcHJvLmJldGEuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABj5mQdwAAAAQDAEcwRQIgQzpp/soWO6cAKmhYYsBzb7CrXLlW7IqrC/kob2Jgm0wCIQD1f663z8+shwDvMySt8wI4Ml+wQxrhFFop6968bUITIQB2AD8XS0/XIkdYlB1lHIS+DRLtkDd/H4Vq68G/KIXs+GRuAAABj5mQdwcAAAQDAEcwRQIhAOmI/GT2j0+uYMm6NJvXBiSU9/Rw2+5NH0/zdSbVcmNVAiAMdHEFqBd692BjbbfyXyqVwM9gwsB1VmzUYi+HGyx7AzANBgkqhkiG9w0BAQsFAAOCAQEABehF17WIYBJ5IUnJqVxSpg3lVmWBI14mojnHQEfRs8qYqp1KH0GcAyAZYwi7wH0S0nD/R0e+OY9V0sSUZR8+gVINEvoo4tzKkdacy6jqTu2OLLXU8JA+hui0l1p/qAvT2kJWQx0JxEXYfRLIfZTft5g4O5sA4fo4abECOFeXywScdkP4Ybij0KJhLYlQK30ZqUngyGX8CZcCgHqTnjT6GhZhIImWUKanUQFZQn6vxeInMyfebOP2AO5FLwItSN3ZbysLk9i/eFiJXEBqJw3ER2h+RXe0/M28AFQflZdKKWRQbkMzcZA93Tmf4vvFll3BqEkl5gaNSFvRXu5g1lNMFQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","OK","app.moncomptepro.beta.gouv.fr","",""
"cert_commonName_wo_SNI","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","INFO","app.moncomptepro.beta.gouv.fr","",""
"cert_trust","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","OK","passed.","",""
"cert_certificatePolicies_EV","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_expirationStatus","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","OK","77 >= 30 days","",""
"cert_notBefore","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","INFO","2024-05-21 04:12","",""
"cert_notAfter","app.moncomptepro.beta.gouv.fr/148.253.96.193","443","OK","2024-08-19 04:12","",""
